time,congestion,avg_wait,throughput,signal_state
0.0,0,0.0,0,NS_GREEN
0.02,0,0.0,0,NS_GREEN
0.03,0,0.0,0,NS_GREEN
0.05,0,0.0,0,NS_GREEN
0.07,0,0.0,0,NS_GREEN
0.08,0,0.0,0,NS_GREEN
0.1,0,0.0,0,NS_GREEN
0.12,0,0.0,0,NS_GREEN
0.13,0,0.0,0,NS_GREEN
0.15,0,0.0,0,NS_GREEN
0.17,0,0.0,0,NS_GREEN
0.18,0,0.0,0,NS_GREEN
0.2,0,0.0,0,NS_GREEN
0.22,0,0.0,0,NS_GREEN
0.23,0,0.0012,0,NS_GREEN
0.25,0,0.0023,0,NS_GREEN
0.27,0,0.0032,0,NS_GREEN
0.28,0,0.0042,0,NS_GREEN
0.3,0,0.0053,0,NS_GREEN
0.32,0,0.0064,0,NS_PRIORITY
0.33,0,0.0074,0,NS_PRIORITY
0.35,1,0.0084,0,NS_PRIORITY
0.37,1,0.0097,0,NS_PRIORITY
0.38,1,0.0108,0,NS_PRIORITY
0.4,1,0.0118,0,NS_PRIORITY
0.42,1,0.0128,0,NS_PRIORITY
0.43,1,0.0139,0,NS_PRIORITY
0.45,1,0.0149,0,NS_PRIORITY
0.47,1,0.0159,0,NS_PRIORITY
0.48,1,0.0159,0,NS_PRIORITY
0.5,1,0.0159,0,NS_PRIORITY
0.52,2,0.0159,0,NS_PRIORITY
0.53,2,0.0159,0,NS_PRIORITY
0.55,2,0.0159,0,NS_PRIORITY
0.57,2,0.0159,0,NS_PRIORITY
0.58,2,0.0159,0,NS_PRIORITY
0.6,2,0.0159,0,NS_PRIORITY
0.62,2,0.0159,0,NS_PRIORITY
0.63,2,0.0159,0,NS_PRIORITY
0.65,2,0.0159,0,NS_PRIORITY
0.67,2,0.0159,0,NS_PRIORITY
0.68,2,0.0159,0,NS_PRIORITY
0.7,2,0.0159,0,NS_PRIORITY
0.72,2,0.0159,0,NS_PRIORITY
0.73,2,0.0159,0,NS_PRIORITY
0.75,2,0.0159,0,NS_PRIORITY
0.77,1,0.0159,0,NS_PRIORITY
0.78,1,0.0159,0,NS_PRIORITY
0.8,1,0.0159,0,NS_PRIORITY
0.82,1,0.0159,0,NS_PRIORITY
0.83,1,0.0159,0,NS_PRIORITY
0.85,1,0.0159,0,NS_PRIORITY
0.87,1,0.0159,0,NS_PRIORITY
0.88,1,0.0159,0,NS_PRIORITY
0.9,1,0.0159,0,NS_PRIORITY
0.92,0,0.0159,0,NS_PRIORITY
0.93,0,0.0159,0,NS_PRIORITY
0.95,0,0.0159,0,NS_PRIORITY
0.97,0,0.0159,0,NS_PRIORITY
0.98,0,0.0159,0,NS_PRIORITY
1.0,0,0.0159,0,NS_PRIORITY
1.02,0,0.0159,0,NS_PRIORITY
1.03,0,0.0159,0,NS_PRIORITY
1.05,0,0.0159,0,NS_PRIORITY
1.07,0,0.0159,0,NS_PRIORITY
1.08,0,0.0159,0,NS_PRIORITY
1.1,0,0.0159,0,NS_PRIORITY
1.12,0,0.0159,0,NS_PRIORITY
1.13,0,0.0159,0,NS_PRIORITY
1.15,0,0.0159,0,NS_PRIORITY
1.17,0,0.0159,0,NS_PRIORITY
1.18,0,0.0159,0,NS_PRIORITY
1.2,0,0.0159,0,NS_PRIORITY
1.22,0,0.0159,0,NS_PRIORITY
1.23,0,0.0159,0,NS_PRIORITY
1.25,0,0.0159,0,NS_PRIORITY
1.27,0,0.0159,0,NS_PRIORITY
1.28,1,0.0159,0,NS_PRIORITY
1.3,1,0.0159,0,NS_PRIORITY
1.32,1,0.0159,0,NS_PRIORITY
1.33,1,0.0159,0,NS_PRIORITY
1.35,1,0.0159,0,NS_PRIORITY
1.37,1,0.0159,0,NS_PRIORITY
1.38,1,0.0159,0,NS_PRIORITY
1.4,1,0.0159,0,NS_PRIORITY
1.42,2,0.0159,0,NS_PRIORITY
1.43,2,0.0159,0,NS_PRIORITY
1.45,2,0.0159,0,NS_PRIORITY
1.47,2,0.0159,0,NS_PRIORITY
1.48,2,0.0159,0,NS_PRIORITY
1.5,2,0.0159,0,NS_PRIORITY
1.52,2,0.0159,0,NS_PRIORITY
1.53,2,0.0159,0,NS_PRIORITY
1.55,2,0.0159,0,NS_PRIORITY
1.57,2,0.0159,0,NS_PRIORITY
1.58,2,0.0159,0,NS_PRIORITY
1.6,2,0.0159,0,NS_PRIORITY
1.62,2,0.0159,0,NS_PRIORITY
1.63,2,0.0159,0,NS_PRIORITY
1.65,2,0.0159,0,NS_PRIORITY
1.67,2,0.0159,0,NS_PRIORITY
1.68,2,0.0159,0,NS_PRIORITY
1.7,1,0.0169,0,NS_PRIORITY
1.72,1,0.0178,0,NS_PRIORITY
1.73,1,0.0188,0,NS_PRIORITY
1.75,1,0.0197,0,NS_PRIORITY
1.77,1,0.0206,0,NS_PRIORITY
1.78,1,0.0215,0,NS_PRIORITY
1.8,1,0.0224,0,NS_PRIORITY
1.82,1,0.0235,0,NS_PRIORITY
1.83,0,0.0244,0,NS_PRIORITY
1.85,0,0.0254,0,NS_PRIORITY
1.87,0,0.0263,0,NS_PRIORITY
1.88,0,0.0272,0,NS_PRIORITY
1.9,0,0.0281,0,NS_PRIORITY
1.92,0,0.029,0,NS_PRIORITY
1.93,0,0.0299,0,NS_PRIORITY
1.95,0,0.0308,0,NS_PRIORITY
1.97,0,0.0318,0,NS_PRIORITY
1.98,0,0.0327,0,NS_PRIORITY
2.0,0,0.0344,0,NS_PRIORITY
2.02,0,0.0366,0,NS_PRIORITY
2.03,0,0.0386,0,NS_PRIORITY
2.05,0,0.0404,0,NS_PRIORITY
2.07,0,0.0426,0,NS_PRIORITY
